statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT10;Oktober;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-26;Datenverarbeitungsgeräte, elektr. u. opt. Erzeugn.;110,7;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-05;Kohle;142,2;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT07;Juli;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-18;Druckerzeugnisse, besp. Ton-, Bild- u. Datenträger;125,3;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-08;Steine und Erden, sonstige Bergbauerzeugnisse;139,6;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-08;Steine und Erden, sonstige Bergbauerzeugnisse;138,3;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-38;Samml.,Behand.,Beseit.v.Abfällen,Rückgew.v.Wertst.;...;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-06;Erdöl und Erdgas;141,6;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-25;Metallerzeugnisse;...;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-19;Kokereierzeugnisse und Mineralölerzeugnisse;124,4;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;e
61241;Index der Erzeugerpreise gewerblicher Produkte;JAHR;Jahr;2024;MONAT;Monate;MONAT11;November;DINSG;Deutschland insgesamt;DG;Deutschland;GP19M2;GP2019 (2-Steller): Gewerbliche Produkte;GP19-12;Tabakerzeugnisse;...;2021=100;PRE001;Erzeugerpreisindex gewerblicher Produkte;
